Date,Package,Title,,
2020/4/30,naniar,"Data Structures, Summaries, and Visualisations for Missing Data",,
2020/4/30,neonUtilities,Utilities for Working with NEON Data,,
2020/4/30,nesRdata,National Eutrophication Survey Data,,
2020/4/30,photobiologyFilters,Spectral Transmittance Data for Filters,,
2020/4/30,rcheology,Data on Base Packages for Current and Previous Versions of R,,
2020/4/30,seplyr,"Improved Standard Evaluation Interfaces for Common Data
Manipulation Tasks",,
2020/4/30,shinipsum,Lorem-Ipsum Helper Function for 'shiny' Prototyping,,
2020/4/30,sigminer,"Extract, Analyze and Visualize Signatures for Genomic Variations",,
2020/4/30,sjlabelled,Labelled Data Utility Functions,,
2020/4/30,smicd,Statistical Methods for Interval Censored Data,,
2020/4/30,spup,Spatial Uncertainty Propagation Analysis,,
2020/4/30,StatCharrms,"Statistical Analysis of Chemistry, Histopathology, and
Reproduction Endpoints Including Repeated Measures and
Multi-Generation Studies",,
2020/4/30,stoRy,Functions for the Analysis of Star Trek Thematic Data,,
2020/4/30,themetagenomics,"Exploring Thematic Structure and Predicted Functionality of 16s
rRNA Amplicon Data",,
2020/4/30,tidytable,Tidy Interface to 'data.table',,
2020/4/30,tvReg,"Time-Varying Coefficient Linear Regression for Single and
Multi-Equations",,
2020/4/30,utile.tools,Summarize Data for Publication,,
2020/4/30,vegtable,Handling Vegetation Data Sets,,
2020/4/30,workflowr,A Framework for Reproducible and Collaborative Data Science,,
2020/4/29,aos,Animate on Scroll Library for 'shiny',,
2020/4/29,aweek,Convert Dates to Arbitrary Week Definitions,,
2020/4/29,bcmaps,Map Layers and Spatial Utilities for British Columbia,,
2020/4/29,cemco,Fit 'CemCO' Algorithm,,
2020/4/29,CeRNASeek,Identification and Analysis of ceRNA Regulation,,
2020/4/29,circumplex,Analysis and Visualization of Circular Data,,
2020/4/29,CNVScope,"A Versatile Toolkit for Copy Number Variation Relationship Data
Analysis and Visualization",,
2020/4/29,colourvalues,Assigns Colours to Values,,
2020/4/29,dggridR,Discrete Global Grids,,
2020/4/29,diveMove,Dive Analysis and Calibration,,
